vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
353,0.0183,true,56,94,0.0,true
354,0.0025,true,56,95,0.0,true
355,0.0012,true,56,95,0.0,true
356,0.0024,true,56,96,0.0,true
357,0.0021,true,56,97,0.0,true
358,0.0023,true,56,98,0.0,true
359,0.003,true,56,99,0.0,true
180,0.0022,true,29,99,0.0,true
181,0.0021,true,29,100,0.0,true
182,0.001,true,29,100,0.0,true
183,0.0021,true,29,101,0.0,true
184,0.0018,true,29,102,0.0,true
185,9.0E-4,true,29,102,0.0,true
186,0.002,true,29,103,0.0,true
465,0.0042,true,74,104,0.0,true
466,0.0021,true,74,105,0.0,true
467,0.0024,true,74,106,0.0,true
468,0.002,true,74,107,0.0,true
469,0.0011,true,74,107,0.0,true
470,0.0022,true,74,108,0.0,true
365,0.0037,true,58,108,0.0,true
366,0.0678,true,58,109,0.0,true
367,0.0045,true,58,110,0.0,true
368,0.0047,true,58,111,0.0,true
369,0.0036,true,58,112,0.0,true
370,0.0041,true,58,113,0.0,true
378,0.0081,true,60,113,0.0,true
379,0.0042,true,60,114,0.0,true
380,0.0017,true,60,114,0.0,true
381,0.0041,true,60,115,0.0,true
382,0.0038,true,60,116,0.0,true
383,0.0039,true,60,117,0.0,true
60,0.0032,true,9,118,0.0,true
61,0.0011,true,9,118,0.0,true
62,0.0021,true,9,119,0.0,true
63,0.0018,true,9,120,0.0,true
64,0.002,true,9,121,0.0,true
65,0.0021,true,9,122,0.0,true
436,0.0015,true,70,122,0.0,true
437,0.001,true,70,122,0.0,true
438,0.0023,true,70,122,0.0,true
439,0.0019,true,70,123,0.0,true
440,0.0018,true,70,124,0.0,true
441,0.0019,true,70,125,0.0,true
442,0.001,true,70,125,0.0,true
443,0.001,true,70,125,0.0,true
121,0.0013,true,19,125,0.0,true
122,0.0024,true,19,126,0.0,true
123,0.002,true,19,127,0.0,true
124,0.0017,true,19,128,0.0,true
125,0.0018,true,19,129,0.0,true
61,0.0015,true,118,129,0.0,true
60,0.001,true,118,129,0.0,true
288,0.0013,true,46,129,0.0,true
289,0.002,true,46,130,0.0,true
290,0.0019,true,46,131,0.0,true
291,0.0018,true,46,132,0.0,true
292,0.0019,true,46,133,0.0,true
293,0.0018,true,46,134,0.0,true
183,0.0017,true,101,134,0.0,true
62,0.0014,true,119,134,0.0,true
465,0.0012,true,104,134,0.0,true
530,0.0012,true,84,134,0.0,true
531,0.0037,true,84,135,0.0,true
532,0.0019,true,84,136,0.0,true
533,0.0017,true,84,137,0.0,true
534,0.0017,true,84,138,0.0,true
535,0.0018,true,84,139,0.0,true
536,9.0E-4,true,84,139,0.0,true
537,9.0E-4,true,84,139,0.0,true
533,0.0012,true,137,139,0.0,true
19,0.0012,true,3,139,0.0,true
20,0.0021,true,3,140,0.0,true
21,0.0018,true,3,141,0.0,true
22,0.0018,true,3,142,0.0,true
23,9.0E-4,true,3,142,0.0,true
24,0.002,true,3,143,0.0,true
226,0.0015,true,36,143,0.0,true
227,0.0023,true,36,144,0.0,true
228,9.0E-4,true,36,144,0.0,true
229,0.002,true,36,145,0.0,true
230,0.0023,true,36,146,0.0,true
231,0.0021,true,36,147,0.0,true
232,0.0012,true,36,147,0.0,true
390,0.0027,true,62,148,0.0,true
391,0.0021,true,62,149,0.0,true
392,0.002,true,62,150,0.0,true
393,0.002,true,62,151,0.0,true
394,9.0E-4,true,62,151,0.0,true
395,0.0021,true,62,152,0.0,true
66,0.003,true,10,153,0.0,true
67,0.0023,true,10,154,0.0,true
68,0.0022,true,10,155,0.0,true
69,0.001,true,10,155,0.0,true
70,0.0021,true,10,156,0.0,true
71,0.0011,true,10,156,0.0,true
72,0.002,true,10,157,0.0,true
230,0.0013,true,146,157,0.0,true
595,0.0013,true,93,157,0.0,true
596,0.002,true,93,158,0.0,true
597,0.002,true,93,159,0.0,true
598,0.002,true,93,160,0.0,true
599,0.002,true,93,161,0.0,true
