vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
190,0.2708,true,26,36,0.0,true
191,0.1831,true,26,33,0.0,true
192,0.2256,true,26,3,0.0,true
193,0.1532,true,26,15,0.0,true
194,0.1136,true,26,2,0.0,true
196,0.1552,true,26,27,0.0,true
296,0.1519,true,26,35,0.0,true
278,0.0912,true,39,41,0.0,true
279,0.0904,true,39,5,0.0,true
280,0.0998,true,39,37,0.0,true
281,0.1064,true,39,3,0.0,true
282,0.0909,true,39,32,0.0,true
283,0.0859,true,39,4,0.0,true
284,0.1015,true,39,26,0.0,true
11,0.0894,true,2,16,0.0,true
12,0.0835,true,2,23,0.0,true
14,0.091,true,2,18,0.0,true
16,0.0809,true,2,5,0.0,true
17,0.133,true,2,24,0.0,true
18,0.1262,true,2,15,0.0,true
19,0.0897,true,2,28,0.0,true
20,0.0885,true,2,36,0.0,true
194,0.0863,true,2,41,0.0,true
292,0.0818,true,41,5,0.0,true
293,0.0818,true,41,26,0.0,true
294,0.0832,true,41,2,0.0,true
295,0.0816,true,41,39,0.0,true
298,0.0808,true,41,42,0.0,true
278,0.1082,true,41,43,0.0,true
194,0.0839,true,41,44,0.0,true
21,0.0938,true,3,26,0.0,true
22,0.1034,true,3,31,0.0,true
23,0.0961,true,3,11,0.0,true
24,0.0798,true,3,41,0.0,true
25,0.0795,true,3,41,0.0,true
26,0.0874,true,3,43,0.0,true
27,0.0775,true,3,42,0.0,true
28,0.0813,true,3,44,0.0,true
36,0.0797,true,3,45,0.0,true
38,0.0796,true,3,3,0.0,true
192,0.0843,true,3,45,0.0,true
281,0.0798,true,3,15,0.0,true
232,0.0954,true,32,26,0.0,true
233,0.0803,true,32,45,0.0,true
234,0.0973,true,32,43,0.0,true
235,0.0798,true,32,3,0.0,true
236,0.0947,true,32,18,0.0,true
247,0.085,true,32,41,0.0,true
282,0.0859,true,32,39,0.0,true
269,0.0846,true,38,45,0.0,true
271,0.0824,true,38,41,0.0,true
272,0.0832,true,38,32,0.0,true
275,0.0938,true,38,42,0.0,true
276,0.0845,true,38,39,0.0,true
277,0.0863,true,38,44,0.0,true
291,0.085,true,38,3,0.0,true
66,0.0828,true,9,26,0.0,true
67,0.0826,true,9,7,0.0,true
68,0.082,true,9,45,0.0,true
69,0.0821,true,9,41,0.0,true
70,0.0792,true,9,43,0.0,true
71,0.0815,true,9,39,0.0,true
73,0.0819,true,9,44,0.0,true
212,0.1924,true,29,43,0.0,true
213,0.1822,true,29,45,0.0,true
214,0.1635,true,29,39,0.0,true
215,0.1651,true,29,44,0.0,true
216,0.1605,true,29,42,0.0,true
218,0.1662,true,29,3,0.0,true
273,0.1582,true,29,2,0.0,true
38,0.1555,true,3,10,0.0,true
235,0.1535,true,3,41,0.0,true
291,0.1612,true,3,43,0.0,true
218,0.1562,true,3,44,0.0,true
223,0.1531,true,31,19,0.0,true
224,0.1538,true,31,43,0.0,true
226,0.1575,true,31,41,0.0,true
227,0.1574,true,31,44,0.0,true
228,0.1569,true,31,21,0.0,true
229,0.1661,true,31,42,0.0,true
230,0.1553,true,31,2,0.0,true
231,0.1567,true,31,29,0.0,true
22,0.1602,true,31,29,0.0,true
29,0.1647,true,4,39,0.0,true
30,0.1606,true,4,41,0.0,true
31,0.1674,true,4,2,0.0,true
32,0.1533,true,4,29,0.0,true
40,0.1568,true,4,31,0.0,true
44,0.1547,true,4,45,0.0,true
90,0.152,true,4,32,0.0,true
92,0.1554,true,4,32,0.0,true
283,0.1524,true,4,3,0.0,true
4,0.1111,true,1,39,0.0,true
6,0.0871,true,1,2,0.0,true
7,0.0886,true,1,42,0.0,true
8,0.0882,true,1,32,0.0,true
10,0.0887,true,1,3,0.0,true
13,0.0948,true,1,27,0.0,true
15,0.1069,true,1,33,0.0,true
295,0.094,true,39,2,0.0,true
282,0.0855,true,39,39,0.0,true
276,0.1007,true,39,32,0.0,true
71,0.0919,true,39,29,0.0,true
214,0.086,true,39,3,0.0,true
29,0.0859,true,39,1,0.0,true
4,0.086,true,39,31,0.0,true
