vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
4,0.0614,true,1,2,0.0,true
6,0.0675,true,1,3,0.0,true
7,0.0404,true,1,4,0.0,true
8,0.0388,false,1,-1,0.0,false
10,0.0297,false,1,-1,0.0,false
13,0.0297,true,1,0,0.0,true
11,0.0696,true,2,1,0.0,true
12,0.0567,true,2,2,0.0,true
14,0.0303,false,2,-1,0.0,false
4,0.0244,false,2,-1,0.0,false
14,0.0502,true,2,1,0.0,true
4,0.0294,true,2,2,0.0,true
12,0.0272,false,2,-1,0.0,false
6,0.0502,true,3,2,0.0,true
14,0.0394,true,2,2,0.0,true
12,0.0312,true,2,3,0.0,true
4,0.0295,false,2,-1,0.0,false
6,0.0258,false,2,-1,0.0,false
4,0.0438,true,2,2,0.0,true
6,0.0321,true,2,3,0.0,true
14,0.0291,false,2,-1,0.0,false
14,0.054,true,2,3,0.0,true
4,0.037,true,2,1,0.0,true
0,0.0558,true,0,3,0.0,true
1,0.0395,true,0,2,0.0,true
2,0.0423,false,0,-1,0.0,false
3,0.0296,false,0,-1,0.0,false
5,0.0265,false,0,-1,0.0,false
9,0.0257,false,0,-1,0.0,false
13,0.0283,false,0,-1,0.0,false
7,0.058,true,4,2,0.0,true
8,0.0418,true,1,2,0.0,true
10,0.0357,true,1,0,0.0,true
11,0.0301,true,1,4,0.0,true
12,0.0662,true,3,3,0.0,true
6,0.0794,true,3,2,0.0,true
14,0.0267,true,3,4,0.0,true
0,0.0223,true,3,4,0.0,true
1,0.0251,true,2,4,0.0,true
7,0.0224,true,2,3,0.0,true
8,0.0366,true,2,1,0.0,true
6,0.0173,false,2,-1,0.0,false
10,0.0491,true,1,4,0.0,true
8,0.0466,true,1,3,0.0,true
11,0.0559,true,4,3,0.0,true
0,0.0433,true,4,4,0.0,true
1,0.0424,true,4,2,0.0,true
10,0.0373,true,4,1,0.0,true
2,0.063,true,0,3,0.0,true
3,0.0237,true,0,2,0.0,true
5,0.0219,true,0,4,0.0,true
9,0.0295,true,0,1,0.0,true
13,0.0205,true,0,1,0.0,true
13,0.0616,true,1,3,0.0,true
14,0.0408,true,1,2,0.0,true
6,0.0452,true,2,2,0.0,true
1,0.0335,true,2,0,0.0,true
3,0.0301,true,2,1,0.0,true
14,0.0334,true,2,3,0.0,true
5,0.0437,true,0,0,0.0,true
9,0.0225,true,0,1,0.0,true
10,0.0386,true,0,1,0.0,true
1,0.0318,true,0,1,0.0,true
3,0.0383,true,1,1,0.0,true
1,0.0362,true,1,4,0.0,true
3,0.0443,true,1,4,0.0,true
6,0.0467,true,2,4,0.0,true
12,0.0404,true,3,1,0.0,true
7,0.0336,true,3,0,0.0,true
8,0.0363,true,3,2,0.0,true
11,0.0317,false,3,-1,0.0,false
2,0.0295,false,3,-1,0.0,false
13,0.0265,true,3,4,0.0,true
14,0.0336,false,3,-1,0.0,false
8,0.0642,true,2,3,0.0,true
11,0.0373,true,3,3,0.0,true
2,0.0363,true,3,1,0.0,true
14,0.0216,true,3,0,0.0,true
8,0.0212,true,3,0,0.0,true
9,0.047,true,0,0,0.0,true
7,0.0405,true,0,0,0.0,true
8,0.0364,true,0,1,0.0,true
12,0.0433,true,1,1,0.0,true
2,0.0411,true,1,0,0.0,true
8,0.0407,true,1,3,0.0,true
7,0.0545,true,0,0,0.0,true
2,0.0261,true,0,3,0.0,true
7,0.0329,true,0,3,0.0,true
12,0.0242,true,1,3,0.0,true
11,0.0323,true,3,1,0.0,true
8,0.0327,true,3,0,0.0,true
2,0.0323,true,3,2,0.0,true
7,0.0253,false,3,-1,0.0,false
12,0.0291,false,3,-1,0.0,false
11,0.0377,true,1,0,0.0,true
2,0.035,true,2,0,0.0,true
0,0.0454,true,4,0,0.0,true
5,0.0363,true,4,3,0.0,true
1,0.0348,true,4,1,0.0,true
3,0.0337,true,4,2,0.0,true
6,0.0315,false,4,-1,0.0,false
13,0.0298,false,4,-1,0.0,false
