vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
17,0.0912,true,3,15,0.0,true
18,0.0534,true,3,16,0.0,true
19,0.0446,true,3,17,0.0,true
20,0.0427,true,3,18,0.0,true
23,0.0606,true,3,19,0.0,true
24,0.0414,true,3,20,0.0,true
86,0.054,true,13,17,0.0,true
87,0.0433,true,13,3,0.0,true
88,0.0385,true,13,15,0.0,true
89,0.038,true,13,20,0.0,true
92,0.0382,true,13,18,0.0,true
110,0.0383,true,13,21,0.0,true
23,0.0755,true,19,16,0.0,true
6,0.0738,true,1,20,0.0,true
7,0.065,true,1,18,0.0,true
8,0.0649,true,1,13,0.0,true
9,0.0639,true,1,3,0.0,true
10,0.0541,true,1,21,0.0,true
45,0.0392,true,1,5,0.0,true
10,0.0404,true,1,20,0.0,true
45,0.0519,true,1,7,0.0,true
87,0.0534,true,3,18,0.0,true
9,0.0508,true,3,3,0.0,true
58,0.055,true,9,3,0.0,true
59,0.0517,true,9,18,0.0,true
60,0.0501,true,9,13,0.0,true
61,0.0519,true,9,1,0.0,true
62,0.0537,true,9,19,0.0,true
63,0.0522,true,9,14,0.0,true
66,0.054,true,9,17,0.0,true
76,0.0507,true,9,12,0.0,true
31,0.0575,true,5,20,0.0,true
32,0.0457,true,5,3,0.0,true
34,0.0423,true,5,13,0.0,true
35,0.0466,true,5,21,0.0,true
36,0.0468,true,5,9,0.0,true
39,0.0475,true,5,1,0.0,true
91,0.0488,true,5,17,0.0,true
45,0.056,true,5,7,0.0,true
117,0.0683,true,17,14,0.0,true
118,0.0542,true,17,5,0.0,true
119,0.0535,true,17,21,0.0,true
19,0.0522,true,17,1,0.0,true
86,0.0561,true,17,9,0.0,true
66,0.0559,true,17,20,0.0,true
91,0.0797,true,17,18,0.0,true
8,0.1378,true,13,3,0.0,true
60,0.0982,true,13,1,0.0,true
34,0.0916,true,13,17,0.0,true
65,0.1058,true,10,3,0.0,true
67,0.0844,true,10,1,0.0,true
68,0.055,true,10,17,0.0,true
70,0.0507,true,10,9,0.0,true
71,0.0501,true,10,15,0.0,true
72,0.0502,true,10,19,0.0,true
73,0.0594,true,10,13,0.0,true
93,0.0661,true,14,17,0.0,true
94,0.0495,true,14,9,0.0,true
95,0.0416,true,14,19,0.0,true
96,0.0502,true,14,18,0.0,true
97,0.0507,true,14,5,0.0,true
99,0.0499,true,14,13,0.0,true
63,0.0508,true,14,3,0.0,true
117,0.0521,true,14,20,0.0,true
12,0.0808,true,2,1,0.0,true
13,0.0559,true,2,9,0.0,true
14,0.0558,true,2,21,0.0,true
15,0.0551,true,2,19,0.0,true
16,0.055,true,2,5,0.0,true
22,0.0547,true,2,14,0.0,true
25,0.0677,true,4,21,0.0,true
26,0.06,true,4,19,0.0,true
27,0.0524,true,4,17,0.0,true
28,0.0525,true,4,2,0.0,true
29,0.0549,true,4,13,0.0,true
30,0.0555,true,4,14,0.0,true
33,0.0503,true,4,10,0.0,true
49,0.0561,true,4,10,0.0,true
64,0.0638,true,4,4,0.0,true
51,0.0553,true,8,17,0.0,true
54,0.059,true,8,5,0.0,true
55,0.0508,true,8,14,0.0,true
56,0.0681,true,8,10,0.0,true
57,0.067,true,8,21,0.0,true
69,0.0594,true,8,2,0.0,true
113,0.0667,true,8,3,0.0,true
51,0.0399,true,8,5,0.0,true
55,0.0426,true,8,19,0.0,true
64,0.0781,true,4,3,0.0,true
36,0.0446,true,9,10,0.0,true
86,0.042,true,9,13,0.0,true
70,0.0417,true,9,2,0.0,true
94,0.0498,true,9,4,0.0,true
13,0.0413,true,9,8,0.0,true
98,0.0513,true,15,10,0.0,true
102,0.0419,true,15,5,0.0,true
103,0.0429,true,15,13,0.0,true
104,0.0404,true,15,13,0.0,true
105,0.0401,true,15,2,0.0,true
106,0.0405,true,15,4,0.0,true
107,0.0401,true,15,4,0.0,true
88,0.0414,true,15,8,0.0,true
71,0.0492,true,15,9,0.0,true
