vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
97,0.1201,true,14,10,0.0,true
99,0.0823,true,14,16,0.0,true
100,0.076,true,14,3,0.0,true
101,0.0772,true,14,17,0.0,true
102,0.0684,true,14,18,0.0,true
103,0.0806,true,14,19,0.0,true
104,0.0479,true,14,4,0.0,true
54,0.0944,true,8,10,0.0,true
56,0.0804,true,8,16,0.0,true
57,0.0808,true,8,18,0.0,true
58,0.0927,true,8,14,0.0,true
59,0.073,true,8,19,0.0,true
84,0.0738,true,8,3,0.0,true
103,0.0864,true,19,18,0.0,true
59,0.0735,true,19,14,0.0,true
67,0.0849,true,10,18,0.0,true
68,0.064,true,10,14,0.0,true
69,0.0426,true,10,8,0.0,true
70,0.0394,true,10,19,0.0,true
71,0.04,true,10,19,0.0,true
72,0.039,true,10,20,0.0,true
54,0.038,true,10,20,0.0,true
60,0.0414,true,9,20,0.0,true
61,0.0375,true,9,19,0.0,true
62,0.0466,true,9,16,0.0,true
63,0.0374,true,9,10,0.0,true
64,0.044,true,9,8,0.0,true
65,0.0523,true,9,8,0.0,true
66,0.0507,true,9,17,0.0,true
87,0.076,true,9,21,0.0,true
58,0.0882,true,14,18,0.0,true
59,0.0881,true,14,20,0.0,true
68,0.0738,true,14,14,0.0,true
46,0.0775,true,7,20,0.0,true
47,0.0649,true,7,9,0.0,true
48,0.0663,true,7,17,0.0,true
49,0.0611,true,7,10,0.0,true
51,0.0902,true,7,14,0.0,true
52,0.0658,true,7,21,0.0,true
53,0.0621,true,7,21,0.0,true
55,0.0629,true,7,7,0.0,true
95,0.0746,true,7,21,0.0,true
47,0.0515,true,9,20,0.0,true
33,0.0535,true,5,20,0.0,true
35,0.0415,true,5,19,0.0,true
36,0.0423,true,5,21,0.0,true
37,0.0418,true,5,8,0.0,true
38,0.0686,true,5,14,0.0,true
83,0.058,true,5,4,0.0,true
55,0.0467,true,7,18,0.0,true
20,0.074,true,3,19,0.0,true
21,0.0437,true,3,17,0.0,true
22,0.0424,true,3,14,0.0,true
23,0.0432,true,3,5,0.0,true
24,0.0482,true,3,8,0.0,true
25,0.0525,true,3,10,0.0,true
32,0.043,true,3,7,0.0,true
100,0.0426,true,3,9,0.0,true
84,0.0445,true,3,13,0.0,true
105,0.0742,true,15,8,0.0,true
106,0.0868,true,15,21,0.0,true
107,0.1097,true,15,10,0.0,true
110,0.0938,true,15,20,0.0,true
111,0.0791,true,15,19,0.0,true
26,0.1172,true,4,8,0.0,true
27,0.0979,true,4,21,0.0,true
28,0.1038,true,4,17,0.0,true
29,0.1157,true,4,14,0.0,true
30,0.0983,true,4,19,0.0,true
31,0.1012,true,4,15,0.0,true
34,0.0902,true,4,7,0.0,true
114,0.0905,true,4,9,0.0,true
104,0.0684,true,4,5,0.0,true
83,0.0679,true,4,5,0.0,true
79,0.0496,true,12,21,0.0,true
81,0.0572,true,12,10,0.0,true
82,0.0566,true,12,7,0.0,true
85,0.0692,true,12,5,0.0,true
86,0.0446,true,12,9,0.0,true
88,0.0471,true,12,15,0.0,true
92,0.071,true,12,4,0.0,true
73,0.0836,true,11,8,0.0,true
74,0.0788,true,11,10,0.0,true
75,0.078,true,11,14,0.0,true
76,0.077,true,11,7,0.0,true
77,0.0902,true,11,5,0.0,true
78,0.0782,true,11,15,0.0,true
80,0.0731,true,11,12,0.0,true
109,0.0786,true,11,19,0.0,true
0,0.065,true,0,5,0.0,true
1,0.0448,true,0,7,0.0,true
2,0.0434,true,0,15,0.0,true
3,0.0556,true,0,9,0.0,true
4,0.0674,true,0,11,0.0,true
5,0.0431,true,0,10,0.0,true
19,0.0415,true,0,21,0.0,true
54,0.0429,true,20,14,0.0,true
72,0.0403,true,20,15,0.0,true
60,0.0414,true,20,9,0.0,true
59,0.0404,true,20,17,0.0,true
46,0.0394,true,20,0,0.0,true
47,0.0399,true,20,11,0.0,true
33,0.0631,true,20,12,0.0,true
110,0.0425,true,20,4,0.0,true
