vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
19,0.0183,true,19,0,0.0,true
1019,0.0023,true,19,1,0.0,true
2019,0.0017,true,19,2,0.0,true
81,0.004,true,81,3,0.0,true
1081,0.0018,true,81,4,0.0,true
2081,0.0019,true,81,5,0.0,true
968,0.0028,true,968,6,0.0,true
1968,0.0013,true,968,7,0.0,true
2968,0.0011,true,968,8,0.0,true
114,0.003,true,114,9,0.0,true
1114,0.0013,true,114,10,0.0,true
2114,0.0017,true,114,11,0.0,true
745,0.0024,true,745,12,0.0,true
1745,0.0013,true,745,13,0.0,true
2745,0.0024,true,745,14,0.0,true
768,0.0022,true,768,15,0.0,true
1768,0.0018,true,768,16,0.0,true
2768,0.0014,true,768,17,0.0,true
50,0.0025,true,50,18,0.0,true
1050,0.0013,true,50,19,0.0,true
2050,0.0014,true,50,20,0.0,true
673,0.0034,true,673,21,0.0,true
1673,0.0015,true,673,22,0.0,true
2673,0.0014,true,673,23,0.0,true
14,0.0026,true,14,24,0.0,true
1014,0.0014,true,14,25,0.0,true
2014,0.0012,true,14,26,0.0,true
2745,0.0016,true,14,27,0.0,true
674,0.0022,true,674,28,0.0,true
1674,0.0013,true,674,29,0.0,true
2674,0.0013,true,674,30,0.0,true
992,0.003,true,992,31,0.0,true
1992,0.0016,true,992,32,0.0,true
2992,0.001,true,992,33,0.0,true
268,0.0022,true,268,34,0.0,true
1268,0.002,true,268,35,0.0,true
2268,0.0011,true,268,36,0.0,true
936,0.0029,true,936,37,0.0,true
1936,0.0022,true,936,38,0.0,true
2936,0.0014,true,936,39,0.0,true
473,0.0026,true,473,40,0.0,true
1473,0.0015,true,473,41,0.0,true
2473,0.0022,true,473,42,0.0,true
475,0.0034,true,475,43,0.0,true
1475,0.0013,true,475,44,0.0,true
2475,0.0016,true,475,45,0.0,true
596,0.0023,true,596,46,0.0,true
1596,0.0013,true,596,47,0.0,true
2596,0.0013,true,596,48,0.0,true
862,0.0028,true,862,49,0.0,true
1862,0.0016,true,862,50,0.0,true
2862,0.0012,true,862,51,0.0,true
564,0.0027,true,564,52,0.0,true
1564,0.0018,true,564,53,0.0,true
2564,0.0014,true,564,54,0.0,true
646,0.0026,true,646,55,0.0,true
1646,0.0012,true,646,56,0.0,true
2646,0.0012,true,646,57,0.0,true
326,0.0023,true,326,58,0.0,true
1326,0.0015,true,326,59,0.0,true
2326,0.0013,true,326,60,0.0,true
719,0.0029,true,719,61,0.0,true
1719,0.0016,true,719,62,0.0,true
2719,0.0012,true,719,63,0.0,true
638,0.0044,true,638,64,0.0,true
1638,0.0018,true,638,65,0.0,true
2638,0.0017,true,638,66,0.0,true
753,0.0026,true,753,67,0.0,true
1753,0.0016,true,753,68,0.0,true
2753,0.0013,true,753,69,0.0,true
823,0.0022,true,823,70,0.0,true
1823,0.0012,true,823,71,0.0,true
2823,0.0011,true,823,72,0.0,true
650,0.002,true,650,73,0.0,true
1650,0.0018,true,650,74,0.0,true
2650,0.0016,true,650,75,0.0,true
739,0.0019,true,739,76,0.0,true
1739,0.0014,true,739,77,0.0,true
2739,0.001,true,739,78,0.0,true
357,0.0019,true,357,79,0.0,true
1357,0.0011,true,357,80,0.0,true
2357,0.0013,true,357,81,0.0,true
260,0.0023,true,260,82,0.0,true
1260,0.0012,true,260,83,0.0,true
2260,0.0012,true,260,84,0.0,true
251,0.0023,true,251,85,0.0,true
1251,0.0019,true,251,86,0.0,true
2251,0.0012,true,251,87,0.0,true
905,0.0023,true,905,88,0.0,true
1905,0.0014,true,905,89,0.0,true
2905,0.0014,true,905,90,0.0,true
68,0.0054,true,68,91,0.0,true
1068,0.0013,true,68,92,0.0,true
2068,0.0017,true,68,93,0.0,true
1753,0.0017,true,68,94,0.0,true
422,0.0021,true,422,95,0.0,true
1422,0.0012,true,422,96,0.0,true
2422,0.0013,true,422,97,0.0,true
103,0.0027,true,103,98,0.0,true
1103,0.0014,true,103,99,0.0,true
2103,0.0016,true,103,100,0.0,true
