vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
21,0.0156,true,21,0,0.0,true
61,0.0021,true,21,1,0.0,true
101,0.0021,true,21,2,0.0,true
35,0.003,true,35,3,0.0,true
75,0.0022,true,35,4,0.0,true
115,0.0022,true,35,5,0.0,true
11,0.0022,true,11,6,0.0,true
51,0.002,true,11,7,0.0,true
91,0.0023,true,11,8,0.0,true
38,0.0026,true,38,9,0.0,true
78,0.0036,true,38,10,0.0,true
118,0.0022,true,38,11,0.0,true
10,0.0025,true,10,12,0.0,true
50,0.0024,true,10,13,0.0,true
90,0.002,true,10,14,0.0,true
78,0.0021,true,10,15,0.0,true
37,0.0024,true,37,16,0.0,true
77,0.002,true,37,17,0.0,true
117,0.0022,true,37,18,0.0,true
1,0.0024,true,1,19,0.0,true
41,0.0023,true,1,20,0.0,true
81,0.002,true,1,21,0.0,true
61,0.0021,true,1,22,0.0,true
39,0.0025,true,39,23,0.0,true
79,0.0021,true,39,24,0.0,true
119,0.0022,true,39,25,0.0,true
36,0.0024,true,36,26,0.0,true
76,0.0021,true,36,27,0.0,true
116,0.0021,true,36,28,0.0,true
15,0.0026,true,15,29,0.0,true
55,0.0024,true,15,30,0.0,true
95,0.0023,true,15,31,0.0,true
78,0.0024,true,15,32,0.0,true
26,0.0027,true,26,33,0.0,true
66,0.0022,true,26,34,0.0,true
106,0.0022,true,26,35,0.0,true
36,0.002,true,26,36,0.0,true
5,0.0028,true,5,37,0.0,true
45,0.0023,true,5,38,0.0,true
85,0.0023,true,5,39,0.0,true
115,0.0025,true,5,0,0.0,true
27,0.0029,true,27,1,0.0,true
67,0.0023,true,27,2,0.0,true
107,0.0026,true,27,3,0.0,true
76,0.0028,true,27,4,0.0,true
85,0.0025,true,39,5,0.0,true
14,0.0026,true,14,6,0.0,true
54,0.0026,true,14,7,0.0,true
94,0.0027,true,14,8,0.0,true
90,0.0022,true,14,9,0.0,true
30,0.0028,true,30,10,0.0,true
70,0.0022,true,30,11,0.0,true
110,0.0025,true,30,12,0.0,true
55,0.0022,true,30,13,0.0,true
85,0.0083,true,5,14,0.0,true
31,0.0025,true,31,15,0.0,true
71,0.0024,true,31,16,0.0,true
111,0.0043,true,31,18,0.0,true
95,0.0024,true,31,19,0.0,true
33,0.0034,true,33,20,0.0,true
73,0.0024,true,33,21,0.0,true
113,0.0031,true,33,22,0.0,true
26,0.003,true,33,23,0.0,true
32,0.0037,true,32,24,0.0,true
72,0.0032,true,32,25,0.0,true
112,0.003,true,32,26,0.0,true
78,0.0025,true,32,27,0.0,true
22,0.0038,true,22,28,0.0,true
62,0.003,true,22,29,0.0,true
102,0.0025,true,22,30,0.0,true
61,0.0026,true,22,31,0.0,true
113,0.0027,true,22,32,0.0,true
102,0.0036,true,30,33,0.0,true
27,0.0032,true,1,34,0.0,true
23,0.0028,true,23,35,0.0,true
63,0.0024,true,23,36,0.0,true
103,0.0028,true,23,37,0.0,true
39,0.0028,true,23,38,0.0,true
26,0.0021,true,23,39,0.0,true
34,0.0052,true,34,1,0.0,true
74,0.0024,true,34,2,0.0,true
114,0.0025,true,34,3,0.0,true
66,0.0024,true,34,4,0.0,true
27,0.0025,true,34,5,0.0,true
113,0.0029,true,32,6,0.0,true
25,0.0031,true,25,7,0.0,true
65,0.0047,true,25,9,0.0,true
105,0.0023,true,25,10,0.0,true
119,0.0023,true,25,11,0.0,true
72,0.0024,true,25,12,0.0,true
8,0.0053,true,8,13,0.0,true
48,0.0024,true,8,14,0.0,true
88,0.0027,true,8,15,0.0,true
91,0.0028,true,8,16,0.0,true
94,0.0052,true,8,18,0.0,true
48,0.0028,true,8,19,0.0,true
88,0.0024,true,8,20,0.0,true
36,0.0027,true,36,21,0.0,true
63,0.0022,true,36,22,0.0,true
31,0.0023,true,15,23,0.0,true
