vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
1,0.0632,true,1,4,0.0,true
20,0.0427,true,1,4,0.0,true
41,0.0358,true,1,8,0.0,true
11,0.0588,true,11,7,0.0,true
36,0.043,true,11,11,0.0,true
47,0.0341,true,11,16,0.0,true
17,0.0391,true,17,1,0.0,true
38,0.0365,true,17,11,0.0,true
50,0.0358,true,17,19,0.0,true
16,0.0395,true,16,11,0.0,true
54,0.0346,true,16,6,0.0,true
47,0.0358,true,16,9,0.0,true
0,0.0364,true,0,17,0.0,true
39,0.0337,true,0,1,0.0,true
10,0.0379,true,10,16,0.0,true
29,0.0363,true,10,15,0.0,true
43,0.039,true,10,16,0.0,true
55,0.0367,true,10,3,0.0,true
14,0.0382,true,14,0,0.0,true
49,0.035,true,14,17,0.0,true
19,0.0442,true,19,10,0.0,true
40,0.0496,true,19,14,0.0,true
44,0.0417,true,19,14,0.0,true
50,0.0395,true,19,11,0.0,true
8,0.0434,true,8,16,0.0,true
46,0.0416,true,8,0,0.0,true
41,0.0386,true,8,19,0.0,true
15,0.0389,true,15,8,0.0,true
25,0.0387,true,15,14,0.0,true
28,0.0374,true,15,8,0.0,true
30,0.037,true,15,14,0.0,true
37,0.0387,true,15,8,0.0,true
29,0.0385,true,15,14,0.0,true
9,0.0376,true,9,15,0.0,true
27,0.0336,true,9,19,0.0,true
35,0.0326,true,9,15,0.0,true
47,0.0393,true,9,10,0.0,true
18,0.0326,true,18,9,0.0,true
34,0.0336,true,18,19,0.0,true
57,0.0324,true,18,10,0.0,true
43,0.0612,true,16,0,0.0,true
10,0.04,true,16,15,0.0,true
8,0.0527,true,16,8,0.0,true
41,0.0481,true,19,16,0.0,true
27,0.1042,true,19,19,0.0,true
34,0.0339,true,19,18,0.0,true
13,0.0341,true,13,19,0.0,true
23,0.0517,true,13,19,0.0,true
56,0.0546,true,13,16,0.0,true
18,0.0692,true,9,18,0.0,true
36,0.0573,true,11,9,0.0,true
38,0.0508,true,11,9,0.0,true
16,0.0513,true,11,9,0.0,true
50,0.041,true,11,18,0.0,true
23,0.0436,true,13,11,0.0,true
56,0.0422,true,13,9,0.0,true
44,0.0421,true,14,13,0.0,true
29,0.0457,true,14,11,0.0,true
25,0.0414,true,14,1,0.0,true
30,0.0437,true,14,12,0.0,true
16,0.0418,true,9,14,0.0,true
56,0.0351,true,9,13,0.0,true
6,0.0463,true,6,9,0.0,true
53,0.0374,true,6,13,0.0,true
54,0.0384,true,6,14,0.0,true
37,0.0376,true,8,11,0.0,true
15,0.0366,true,8,16,0.0,true
28,0.0361,true,8,16,0.0,true
8,0.0337,true,8,6,0.0,true
29,0.0372,true,11,8,0.0,true
37,0.0345,true,11,11,0.0,true
0,0.034,true,17,8,0.0,true
49,0.0358,true,17,11,0.0,true
19,0.0375,true,10,17,0.0,true
47,0.0333,true,10,19,0.0,true
57,0.036,true,10,8,0.0,true
19,0.0359,true,17,10,0.0,true
17,0.0415,true,1,17,0.0,true
39,0.035,true,1,10,0.0,true
25,0.0386,true,1,16,0.0,true
29,0.0439,true,8,1,0.0,true
0,0.0353,true,8,17,0.0,true
57,0.038,true,8,10,0.0,true
35,0.0462,true,15,8,0.0,true
9,0.0405,true,15,1,0.0,true
10,0.051,true,15,1,0.0,true
7,0.0458,true,7,15,0.0,true
21,0.0419,true,7,15,0.0,true
22,0.0364,true,7,15,0.0,true
26,0.0319,true,7,15,0.0,true
31,0.0424,true,7,15,0.0,true
42,0.0289,true,7,8,0.0,true
11,0.0346,true,7,15,0.0,true
11,0.0384,true,15,7,0.0,true
22,0.0225,true,15,6,0.0,true
21,0.0239,true,15,13,0.0,true
7,0.0222,true,15,13,0.0,true
31,0.0218,true,15,6,0.0,true
17,0.0286,true,17,15,0.0,true
0,0.0179,true,17,1,0.0,true
