vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
8,0.0628,true,8,1,0.0,true
29,0.0251,true,8,7,0.0,true
40,0.0216,true,8,18,0.0,true
55,0.0228,true,8,4,0.0,true
18,0.0229,true,18,8,0.0,true
42,0.0216,true,18,5,0.0,true
54,0.0315,true,18,11,0.0,true
40,0.0282,true,18,13,0.0,true
3,0.022,true,3,18,0.0,true
28,0.0295,true,3,17,0.0,true
51,0.0185,true,3,0,0.0,true
15,0.0186,true,15,8,0.0,true
32,0.0186,true,15,3,0.0,true
48,0.018,true,15,7,0.0,true
18,0.0185,true,8,15,0.0,true
15,0.0175,true,8,18,0.0,true
13,0.0182,true,13,8,0.0,true
34,0.0182,true,13,18,0.0,true
40,0.0303,true,13,15,0.0,true
12,0.0373,true,12,8,0.0,true
25,0.0418,true,12,13,0.0,true
58,0.0365,true,12,15,0.0,true
12,0.0402,true,12,3,0.0,true
58,0.0349,true,12,13,0.0,true
14,0.0379,true,14,12,0.0,true
27,0.0391,true,14,3,0.0,true
41,0.035,true,14,19,0.0,true
17,0.0432,true,17,12,0.0,true
21,0.0382,true,17,12,0.0,true
37,0.0353,true,17,13,0.0,true
28,0.0352,true,17,8,0.0,true
2,0.0357,true,2,14,0.0,true
43,0.0313,true,2,17,0.0,true
56,0.02,true,2,8,0.0,true
10,0.0228,true,10,17,0.0,true
26,0.0346,true,10,3,0.0,true
57,0.0376,true,10,12,0.0,true
0,0.0461,true,0,2,0.0,true
35,0.0394,true,0,10,0.0,true
50,0.0348,true,0,14,0.0,true
52,0.0355,true,0,14,0.0,true
51,0.0326,true,0,3,0.0,true
6,0.0393,true,6,10,0.0,true
44,0.0358,true,6,0,0.0,true
11,0.0361,true,11,2,0.0,true
31,0.0352,true,11,17,0.0,true
38,0.0491,true,11,6,0.0,true
54,0.0354,true,11,17,0.0,true
18,0.0438,true,15,11,0.0,true
40,0.0419,true,15,0,0.0,true
58,0.0241,true,15,10,0.0,true
13,0.024,true,8,15,0.0,true
12,0.024,true,8,0,0.0,true
28,0.0244,true,8,2,0.0,true
56,0.024,true,8,14,0.0,true
43,0.024,true,17,8,0.0,true
10,0.0239,true,17,15,0.0,true
54,0.0245,true,17,17,0.0,true
1,0.02,true,1,8,0.0,true
20,0.0193,true,1,8,0.0,true
46,0.02,true,1,17,0.0,true
8,0.0205,true,1,15,0.0,true
0,0.0202,true,2,6,0.0,true
11,0.02,true,2,11,0.0,true
28,0.0232,true,2,17,0.0,true
5,0.0202,true,5,2,0.0,true
36,0.0202,true,5,6,0.0,true
42,0.0196,true,5,11,0.0,true
35,0.0202,true,10,2,0.0,true
6,0.02,true,10,5,0.0,true
58,0.02,true,10,1,0.0,true
5,0.0202,true,2,10,0.0,true
35,0.0223,true,2,2,0.0,true
43,0.0213,true,8,2,0.0,true
14,0.02,true,12,10,0.0,true
21,0.021,true,12,2,0.0,true
57,0.0201,true,12,17,0.0,true
4,0.0198,true,4,12,0.0,true
22,0.0201,true,4,12,0.0,true
24,0.0199,true,4,12,0.0,true
53,0.0202,true,4,10,0.0,true
55,0.0198,true,4,2,0.0,true
7,0.0263,true,7,4,0.0,true
23,0.0219,true,7,4,0.0,true
47,0.0205,true,7,5,0.0,true
29,0.0201,true,7,1,0.0,true
48,0.0207,true,7,8,0.0,true
6,0.025,true,5,7,0.0,true
47,0.0441,true,5,5,0.0,true
18,0.043,true,11,5,0.0,true
11,0.037,true,11,1,0.0,true
42,0.0354,true,11,10,0.0,true
32,0.0296,true,3,11,0.0,true
27,0.0308,true,3,5,0.0,true
26,0.0246,true,3,8,0.0,true
51,0.0304,true,3,12,0.0,true
25,0.0258,true,13,3,0.0,true
37,0.0206,true,13,11,0.0,true
20,0.0207,true,8,13,0.0,true
48,0.0205,true,8,3,0.0,true
26,0.0203,true,8,11,0.0,true
