vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
74,0.446,true,74,107,0.0,true
499,0.3115,true,74,113,0.0,true
547,0.1881,true,74,115,0.0,true
572,0.1833,true,74,118,0.0,true
32,0.1773,true,32,121,0.0,true
301,0.1779,true,32,125,0.0,true
109,0.1711,true,109,32,0.0,true
276,0.1802,true,109,74,0.0,true
465,0.1767,true,109,142,0.0,true
48,0.1717,true,48,32,0.0,true
331,0.173,true,48,146,0.0,true
566,0.17,true,48,162,0.0,true
124,0.17,true,124,109,0.0,true
277,0.1786,true,124,74,0.0,true
439,0.1691,true,124,32,0.0,true
577,0.1824,true,124,48,0.0,true
103,0.252,true,103,124,0.0,true
407,0.2165,true,103,74,0.0,true
182,0.2021,true,182,109,0.0,true
243,0.2227,true,182,48,0.0,true
582,0.1932,true,182,109,0.0,true
2,0.1723,true,2,103,0.0,true
398,0.1727,true,2,124,0.0,true
141,0.1714,true,141,182,0.0,true
350,0.1726,true,141,32,0.0,true
530,0.1824,true,141,109,0.0,true
1,0.172,true,1,141,0.0,true
200,0.1726,true,1,141,0.0,true
426,0.1766,true,1,2,0.0,true
540,0.1745,true,1,2,0.0,true
56,0.1782,true,56,1,0.0,true
234,0.1691,true,56,1,0.0,true
515,0.172,true,56,103,0.0,true
114,0.1683,true,114,56,0.0,true
211,0.1688,true,114,56,0.0,true
314,0.1728,true,114,182,0.0,true
117,0.1671,true,117,114,0.0,true
410,0.1712,true,117,56,0.0,true
576,0.1729,true,117,141,0.0,true
160,0.169,true,160,56,0.0,true
419,0.1731,true,160,117,0.0,true
67,0.2261,true,67,114,0.0,true
305,0.2034,true,67,160,0.0,true
545,0.1745,true,67,141,0.0,true
151,0.2053,true,151,117,0.0,true
417,0.1796,true,151,67,0.0,true
471,0.1742,true,151,1,0.0,true
12,0.1723,true,12,151,0.0,true
232,0.2021,true,12,67,0.0,true
326,0.1797,true,12,151,0.0,true
541,0.173,true,12,166,0.0,true
18,0.1688,true,18,67,0.0,true
203,0.1926,true,18,160,0.0,true
247,0.1701,true,18,67,0.0,true
376,0.1815,true,18,12,0.0,true
419,0.1692,true,117,18,0.0,true
151,0.1858,true,117,151,0.0,true
175,0.1685,true,175,117,0.0,true
297,0.1717,true,175,160,0.0,true
540,0.1691,true,2,12,0.0,true
426,0.1698,true,2,18,0.0,true
87,0.1702,true,87,2,0.0,true
310,0.1719,true,87,67,0.0,true
177,0.1695,true,177,175,0.0,true
479,0.17,true,177,87,0.0,true
72,0.1693,true,72,117,0.0,true
263,0.1834,true,72,2,0.0,true
306,0.1705,true,72,117,0.0,true
571,0.1703,true,72,2,0.0,true
176,0.1649,true,176,72,0.0,true
478,0.1723,true,176,172,0.0,true
144,0.1694,true,144,176,0.0,true
228,0.1699,true,144,72,0.0,true
388,0.17,true,144,175,0.0,true
416,0.173,true,144,176,0.0,true
63,0.1713,true,63,177,0.0,true
304,0.2028,true,63,144,0.0,true
348,0.1855,true,63,144,0.0,true
516,0.1721,true,63,176,0.0,true
10,0.1966,true,10,144,0.0,true
282,0.1875,true,10,87,0.0,true
562,0.1963,true,10,175,0.0,true
68,0.177,true,68,63,0.0,true
455,0.1726,true,68,177,0.0,true
37,0.1739,true,37,10,0.0,true
451,0.1781,true,37,144,0.0,true
492,0.174,true,37,144,0.0,true
565,0.1795,true,37,179,0.0,true
185,0.1739,true,185,68,0.0,true
395,0.1785,true,185,10,0.0,true
15,0.1744,true,15,37,0.0,true
485,0.1803,true,15,185,0.0,true
11,0.1741,true,11,68,0.0,true
343,0.1788,true,11,15,0.0,true
587,0.1752,true,11,63,0.0,true
135,0.1726,true,135,15,0.0,true
415,0.1696,true,135,185,0.0,true
82,0.179,true,82,11,0.0,true
361,0.1716,true,82,177,0.0,true
500,0.1791,true,82,37,0.0,true
