vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
82,0.207,true,82,44,0.0,true
182,0.1881,true,82,51,0.0,true
274,0.1749,true,82,63,0.0,true
65,0.1135,true,65,82,0.0,true
179,0.0988,true,65,70,0.0,true
80,0.0966,true,80,89,0.0,true
127,0.0932,true,80,96,0.0,true
137,0.0929,true,80,0,0.0,true
218,0.0905,true,80,4,0.0,true
265,0.0935,true,80,10,0.0,true
98,0.1007,true,98,65,0.0,true
109,0.1036,true,98,65,0.0,true
128,0.1008,true,98,65,0.0,true
293,0.0912,true,98,82,0.0,true
83,0.0953,true,83,80,0.0,true
107,0.113,true,83,80,0.0,true
219,0.0966,true,83,98,0.0,true
233,0.0983,true,83,98,0.0,true
93,0.1084,true,93,83,0.0,true
170,0.0962,true,93,80,0.0,true
236,0.1117,true,93,82,0.0,true
68,0.0964,true,68,98,0.0,true
246,0.1039,true,68,93,0.0,true
43,0.1065,true,43,68,0.0,true
134,0.0949,true,43,83,0.0,true
299,0.095,true,43,68,0.0,true
246,0.1435,true,68,43,0.0,true
20,0.1114,true,20,80,0.0,true
201,0.1228,true,20,43,0.0,true
287,0.0973,true,20,93,0.0,true
8,0.0904,true,8,20,0.0,true
225,0.0907,true,8,93,0.0,true
63,0.0944,true,63,43,0.0,true
154,0.0885,true,63,68,0.0,true
272,0.0849,true,63,65,0.0,true
274,0.0866,true,63,13,0.0,true
37,0.0862,true,37,8,0.0,true
213,0.0867,true,37,20,0.0,true
270,0.0847,true,37,63,0.0,true
41,0.0918,true,41,37,0.0,true
176,0.0922,true,41,8,0.0,true
298,0.0854,true,41,63,0.0,true
5,0.1016,true,5,43,0.0,true
224,0.1008,true,5,41,0.0,true
14,0.1056,true,14,37,0.0,true
226,0.1205,true,14,63,0.0,true
59,0.086,true,59,41,0.0,true
261,0.0846,true,59,5,0.0,true
10,0.0844,true,10,14,0.0,true
149,0.0856,true,10,59,0.0,true
160,0.1124,true,10,59,0.0,true
185,0.0982,true,10,59,0.0,true
211,0.0866,true,10,16,0.0,true
265,0.0848,true,10,18,0.0,true
81,0.0895,true,81,10,0.0,true
181,0.0931,true,81,59,0.0,true
273,0.0809,true,81,5,0.0,true
16,0.0826,true,16,14,0.0,true
256,0.1206,true,16,25,0.0,true
211,0.0871,true,16,29,0.0,true
299,0.0829,true,68,81,0.0,true
154,0.0835,true,68,10,0.0,true
45,0.0841,true,45,68,0.0,true
242,0.0819,true,45,81,0.0,true
282,0.0817,true,45,81,0.0,true
31,0.0858,true,31,45,0.0,true
143,0.0819,true,31,16,0.0,true
289,0.0865,true,31,10,0.0,true
160,0.0851,true,59,45,0.0,true
185,0.0896,true,59,31,0.0,true
149,0.0972,true,59,68,0.0,true
181,0.0876,true,59,30,0.0,true
17,0.1011,true,17,45,0.0,true
188,0.0885,true,17,59,0.0,true
227,0.088,true,17,59,0.0,true
7,0.0836,true,7,31,0.0,true
110,0.1005,true,7,31,0.0,true
171,0.0847,true,7,16,0.0,true
254,0.0815,true,7,35,0.0,true
53,0.0966,true,53,17,0.0,true
153,0.0846,true,53,7,0.0,true
271,0.0821,true,53,17,0.0,true
21,0.0882,true,21,53,0.0,true
101,0.0853,true,21,7,0.0,true
117,0.0886,true,21,53,0.0,true
131,0.0829,true,21,53,0.0,true
189,0.0843,true,21,7,0.0,true
94,0.0851,true,94,21,0.0,true
114,0.0843,true,94,21,0.0,true
237,0.0839,true,94,45,0.0,true
40,0.1362,true,40,53,0.0,true
104,0.0945,true,40,17,0.0,true
133,0.0891,true,40,53,0.0,true
157,0.0864,true,40,17,0.0,true
33,0.0849,true,33,40,0.0,true
167,0.0849,true,33,94,0.0,true
19,0.0883,true,19,21,0.0,true
200,0.085,true,19,31,0.0,true
267,0.0905,true,19,53,0.0,true
41,0.085,true,37,33,0.0,true
14,0.0854,true,37,40,0.0,true
